Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
Lincoln,40638,43594,46087,45,7.3,5.7,148
Long,33714,36566,38480,134,8.5,5.2,149
Lowndes,38070,41037,43546,70,7.8,6.1,135
Lumpkin,39977,42280,44843,51,5.8,6.1,137
McDuffie,37325,40949,43362,75,9.7,5.9,142
McIntosh,40536,44683,47287,36,10.2,5.8,145
Macon,33395,35669,39164,128,6.8,9.8,27
Madison,38459,39298,43445,73,2.2,10.6,14
Marion,32765,35290,39075,129,7.7,10.7,13
Meriwether,37093,40855,44305,58,10.1,8.4,57
Miller,43901,46907,50213,26,6.8,7,106
Mitchell,36055,39267,42397,85,8.9,8,74
Monroe,47038,49781,52718,20,5.8,5.9,141
Montgomery,31503,35598,37935,140,13,6.6,119
Morgan,51582,53835,57857,10,4.4,7.5,88
Murray,31274,34039,37264,143,8.8,9.5,31
Muscogee,42149,45144,49091,27,7.1,8.7,49
Newton,35126,38449,42056,92,9.5,9.4,35
Oconee,70400,72145,76403,2,2.5,5.9,140
Oglethorpe,38746,39427,43517,72,1.8,10.4,18
Paulding,40700,43662,47381,35,7.3,8.5,53
Peach,38358,41231,43641,69,7.5,5.8,144
Pickens,49335,51623,55398,13,4.6,7.3,95
Pierce,36776,39454,41882,93,7.3,6.2,133
Pike,42398,44985,48643,32,6.1,8.1,69
Polk,33504,36171,39578,123,8,9.4,33
Pulaski,34834,37589,40100,118,7.9,6.7,117
Putnam,45971,49574,53019,19,7.8,6.9,108
Quitman,33132,36692,38398,135,10.7,4.6,152
Rabun,43631,47292,50488,23,8.4,6.8,115
Randolph,35494,39892,43049,78,12.4,7.9,75
Richmond,38085,41051,43429,74,7.8,5.8,147
Rockdale,35602,39358,43042,79,10.5,9.4,36
Schley,37443,39972,43917,62,6.8,9.9,26
