Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
St. Clair,31316,34466,36671,113,10.1,6.4,45
Ste. Genevieve,41160,44215,46578,44,7.4,5.3,89
St. Francois,35222,37971,40227,96,7.8,5.9,63
St. Louis,73575,77419,81829,1,5.2,5.7,74
Saline,37351,41697,44067,64,11.6,5.7,75
Schuyler,32969,37161,38544,102,12.7,3.7,107
Scotland,35776,41903,45092,58,17.1,7.6,15
Scott,41226,44714,47750,32,8.5,6.8,34
Shannon,34946,38917,41200,90,11.4,5.9,65
Shelby,38989,43499,48578,29,11.6,11.7,5
Stoddard,37698,40868,45554,55,8.4,11.5,6
Stone,41537,44432,46852,41,7,5.4,81
Sullivan,38969,44289,44139,63,13.7,-0.3,115
Taney,37777,40130,42600,78,6.2,6.2,56
Texas,30579,34186,35346,114,11.8,3.4,111
Vernon,36058,40312,42332,80,11.8,5,96
Warren,44910,47227,50001,20,5.2,5.9,64
Washington,31927,34830,37238,110,9.1,6.9,32
Wayne,35865,39972,42678,77,11.5,6.8,35
Webster,34607,37195,39976,97,7.5,7.5,18
Worth,37715,40892,41952,83,8.4,2.6,113
Wright,33209,36432,38544,102,9.7,5.8,69
St. Louis City,48808,52085,55984,6,6.7,7.5,17
,,,,,,,
Montana,50289,54106,56949,,7.6,5.3,
Beaverhead,48960,53114,54430,19,8.5,2.5,31
Big Horn,31525,35760,36517,54,13.4,2.1,34
Blaine,28752,32137,34095,55,11.8,6.1,11
Broadwater,43874,46978,47541,36,7.1,1.2,39
Carbon,55564,58553,59715,6,5.4,2,37
Carter,35331,41071,39354,51,16.2,-4.2,46
Cascade,47303,50576,53765,20,6.9,6.3,9
Chouteau,39136,44873,39287,52,14.7,-12.4,55
Custer,45133,48672,50535,27,7.8,3.8,21
Daniels,48764,59209,57661,11,21.4,-2.6,45
Dawson,44820,47514,47459,37,6,-0.1,41
Deer Lodge,40093,44356,46384,42,10.6,4.6,16
Fallon,45775,48531,49165,32,6,1.3,38
Fergus,44026,45728,46685,40,3.9,2.1,35
Flathead,51462,55764,58964,9,8.4,5.7,13
Gallatin,60242,65225,70276,2,8.3,7.7,3
Garfield,35023,41816,37365,53,19.4,-10.6,53
Glacier,37046,41271,41159,49,11.4,-0.3,42
Golden Valley,49935,53351,53046,22,6.8,-0.6,43
Granite,46221,49622,51995,24,7.4,4.8,15
Hill,45861,49714,51060,25,8.4,2.7,30
Jefferson,51121,54195,56632,14,6,4.5,17
Judith Basin,48136,52026,48352,35,8.1,-7.1,50
Lake,40510,44565,46387,41,10,4.1,20
Lewis and Clark,50533,54364,56791,13,7.6,4.5,18
Liberty,55944,60873,57219,12,8.8,-6,47
Lincoln,38977,42915,43782,46,10.1,2,36
McCone,37815,42057,46848,38,11.2,11.4,2
Madison,66750,70067,74468,1,5,6.3,10
Meagher,44049,46482,46835,39,5.5,0.8,40
Mineral,40374,44492,45966,43,10.2,3.3,25
Missoula,53992,57895,61881,4,7.2,6.9,6
Musselshell,44810,48195,49553,30,7.6,2.8,29
Park,51909,55812,59558,7,7.5,6.7,7
Petroleum,34028,36335,31503,56,6.8,-13.3,56
Phillips,39054,43494,44926,44,11.4,3.3,26
Pondera,49912,56521,52704,23,13.2,-6.8,49
Powder River,34282,40773,39838,50,18.9,-2.3,44
Powell,45601,49055,50932,26,7.6,3.8,22
Prairie,47082,54058,49204,31,14.8,-9,51
Ravalli,50072,53310,56321,16,6.5,5.6,14
Richland,59985,59934,61645,5,-0.1,2.9,28
Roosevelt,36659,40608,43207,47,10.8,6.4,8
Rosebud,47753,52220,53461,21,9.4,2.4,32
Sanders,37037,41201,42153,48,11.2,2.3,33
Sheridan,47259,53773,55476,17,13.8,3.2,27
Silver Bow,48451,51180,54704,18,5.6,6.9,5
Stillwater,59139,62194,64917,3,5.2,4.4,19
Sweet Grass,51626,55732,57852,10,8,3.8,23
Teton,49178,53825,50240,28,9.4,-6.7,48
Toole,49222,54000,49135,33,9.7,-9,52
Treasure,51812,56527,49706,29,9.1,-12.1,54
Valley,46099,50260,56541,15,9,12.5,1
Wheatland,40321,43115,44640,45,6.9,3.5,24
Wibaux,41574,45705,48904,34,9.9,7,4
Yellowstone,52992,56075,59415,8,5.8,6,12
,,,,,,,
Nebraska,54182,57421,61205,,6,6.6,
Adams,50436,53834,58072,59,6.7,7.9,45
Antelope,57774,71488,74129,8,23.7,3.7,80
Arthur,49775,54348,58171,56,9.2,7,56
Banner,58969,61329,68909,14,4,12.4,15
Blaine,58725,66390,62594,37,13.1,-5.7,92
Boone,56680,66670,74085,9,17.6,11.1,20
Box Butte,48835,50917,55642,73,4.3,9.3,34
Boyd,58251,65645,74685,6,12.7,13.8,9
Brown,56927,63013,63598,31,10.7,0.9,88
Buffalo,56553,59369,61763,39,5,4,77
Burt,47652,52212,56557,68,9.6,8.3,40
Butler,48773,55051,59717,51,12.9,8.5,39
Cass,53565,56967,60920,42,6.4,6.9,57
Cedar,51013,58553,66572,22,14.8,13.7,10
Chase,60268,68404,69366,13,13.5,1.4,86
Cherry,47074,54140,55302,74,15,2.1,85
Cheyenne,48869,51608,52730,82,5.6,2.2,84
Clay,52353,58528,63915,29,11.8,9.2,36
Colfax,44150,50636,54392,79,14.7,7.4,49
Cuming,64751,72236,71979,11,11.6,-0.4,90
Custer,49256,56374,58544,54,14.5,3.8,79
Dakota,41615,44031,48756,90,5.8,10.7,21
Dawes,39476,44425,47375,91,12.5,6.6,62
Dawson,44578,48074,49653,88,7.8,3.3,81
Deuel,40961,43499,46093,92,6.2,6,65
Dixon,44757,50265,54144,80,12.3,7.7,46
Dodge,48081,52163,56298,69,8.5,7.9,44
Douglas,63204,64768,68699,15,2.5,6.1,64
Dundy,71482,85446,93788,1,19.5,9.8,29
Fillmore,57200,62796,68697,16,9.8,9.4,32
Franklin,52677,62114,68092,18,17.9,9.6,30
Frontier,39203,47254,55020,77,20.5,16.4,5
Furnas,46142,53829,59961,48,16.7,11.4,19
Gage,48682,52502,57838,60,7.8,10.2,27
Garden,47020,51193,57475,62,8.9,12.3,16
Garfield,46130,54226,54771,78,17.6,1,87
Gosper,52047,60103,67627,20,15.5,12.5,14
Grant,50847,56159,59952,49,10.4,6.8,59
Greeley,51465,59544,66840,21,15.7,12.3,17
Hall,43633,47179,51566,86,8.1,9.3,33
Hamilton,53781,60279,65739,25,12.1,9.1,37
Harlan,57567,63737,66306,23,10.7,4,78
Hayes,70204,81633,90144,2,16.3,10.4,25
Hitchcock,42440,49549,59923,50,16.8,20.9,1
Holt,52409,59866,66231,24,14.2,10.6,22
Hooker,47599,48980,49027,89,2.9,0.1,89
Howard,46850,52024,55957,72,11,7.6,48
Jefferson,48162,52524,56274,70,9.1,7.1,53
Johnson,34566,38725,42104,93,12,8.7,38
Kearney,57267,63956,72421,10,11.7,13.2,12
Keith,45436,48869,52394,83,7.6,7.2,51
Keya Paha,52357,63851,62968,36,22,-1.4,91
Kimball,46172,52000,55021,76,12.6,5.8,67
Knox,46881,53730,57577,61,14.6,7.2,52
Lancaster,51035,53827,56782,67,5.5,5.5,69
Lincoln,49617,53436,58484,55,7.7,9.4,31
Logan,52031,57256,60186,45,10,5.1,71
Loup,58268,65201,69695,12,11.9,6.9,58
McPherson,51745,67927,63343,34,31.3,-6.7,93
Madison,51683,55695,60169,46,7.8,8,43
Merrick,48814,52538,56823,65,7.6,8.2,41
Morrill,57763,63827,65524,26,10.5,2.7,82
Nance,40694,47317,55096,75,16.3,16.4,4
Nemaha,48317,51393,56823,65,6.4,10.6,24
Nuckolls,53019,59933,68062,19,13,13.6,11
Otoe,55614,58784,63569,32,5.7,8.1,42
Pawnee,44972,53131,58774,53,18.1,10.6,23
Perkins,64894,75072,87847,3,15.7,17,3
Phelps,54090,60264,63430,33,11.4,5.3,70
Pierce,57035,62386,68647,17,9.4,10,28
Platte,48329,52458,56149,71,8.5,7,55
Polk,53709,57864,65364,27,7.7,13,13
Red Willow,46784,51790,53974,81,10.7,4.2,76
Richardson,49797,54936,60001,47,10.3,9.2,35
Rock,64946,76670,80527,5,18.1,5,72
Saline,42769,46753,51623,85,9.3,10.4,26
Sarpy,52202,54900,58084,58,5.2,5.8,68
Saunders,53994,57644,61840,38,6.8,7.3,50
Scotts Bluff,45546,49089,51337,87,7.8,4.6,73
Seward,51016,55580,58829,52,8.9,5.8,66
Sheridan,50584,56304,60271,43,11.3,7,54
Sherman,44880,51164,60225,44,14,17.7,2
Sioux,59849,65082,74215,7,8.7,14,8
Stanton,47073,54803,61286,41,16.4,11.8,18
Thayer,52792,59847,63828,30,13.4,6.7,61
Thomas,57707,59914,61324,40,3.8,2.4,83
Thurston,41718,49998,57406,63,19.8,14.8,7
Valley,52167,60546,63254,35,16.1,4.5,74
Washington,58221,61147,65143,28,5,6.5,63
Wayne,43613,48187,51852,84,10.5,7.6,47
Webster,51108,54802,57191,64,7.2,4.4,75
Wheeler,73088,72748,83722,4,-0.5,15.1,6
York,48928,54506,58148,57,11.4,6.7,60
,,,,,,,
Nevada,52602,55406,60213,,5.3,8.7,
Churchill,45923,49871,54726,9,8.6,9.7,3
Clark,51012,53562,58276,6,5,8.8,6
Douglas,77239,81033,87214,1,4.9,7.6,10
Elko,47458,50436,52754,12,6.3,4.6,14
Esmeralda,51386,47507,55007,8,-7.5,15.8,1
Eureka,47549,47833,49606,13,0.6,3.7,17
Humboldt,47967,50801,53564,10,5.9,5.4,12
Lander,67315,69536,72511,3,3.3,4.3,15
Lincoln,45484,49336,53269,11,8.5,8,9
Lyon,40283,44043,48247,15,9.3,9.5,4
Mineral,41053,47029,48836,14,14.6,3.8,16
Nye,37624,39534,42796,16,5.1,8.3,8
Pershing,33070,37287,39688,17,12.8,6.4,11
Storey,60420,69486,77775,2,15,11.9,2
Washoe,62117,65674,71436,4,5.7,8.8,7
White Pine,48628,53734,56241,7,10.5,4.7,13
Carson City,50973,55239,60445,5,8.4,9.4,5
,,,,,,,
New Hampshire,64747,68542,73200,,5.9,6.8,
Belknap,64287,67965,71958,3,5.7,5.9,6
Carroll,63343,66897,69803,5,5.6,4.3,10
Cheshire,53260,58093,64870,7,9.1,11.7,1
Coos,45254,49535,52132,10,9.5,5.2,9
Grafton,66344,70687,74813,2,6.5,5.8,7
Hillsborough,63263,67127,71849,4,6.1,7,3
Merrimack,60412,64478,68222,6,6.7,5.8,8
Rockingham,79315,82496,88303,1,4,7,2
Strafford,53852,57449,61139,9,6.7,6.4,5
Sullivan,55373,59379,63225,8,7.2,6.5,4
,,,,,,,
New Jersey,68438,71505,77016,,4.5,7.7,
Atlantic,50196,55273,58310,19,10.1,5.5,20
Bergen,87903,90759,97343,4,3.2,7.3,11
Burlington,62113,65654,69496,13,5.7,5.9,19
Camden,53811,57483,61642,16,6.8,7.2,12
Cape May,63302,68326,72010,10,7.9,5.4,21
Cumberland,40014,43844,47559,21,9.6,8.5,6
Essex,63975,68192,74310,8,6.6,9,3
Gloucester,55704,58909,62553,15,5.8,6.2,18
Hudson,64645,65509,72046,9,1.3,10,1
Hunterdon,90649,93279,100288,3,2.9,7.5,9
Mercer,68721,71990,77911,6,4.8,8.2,7
Middlesex,61440,64920,70221,12,5.7,8.2,8
Monmouth,82513,86029,92119,5,4.3,7.1,14
Morris,97774,100617,107767,2,2.9,7.1,13
Ocean,53315,56831,60823,17,6.6,7,15
Passaic,50421,54514,59559,18,8.1,9.3,2
Salem,48860,52936,57547,20,8.3,8.7,4
Somerset,107923,106558,113975,1,-1.3,7,17
Sussex,63283,66431,71059,11,5,7,16
Union,68555,70955,77007,7,3.5,8.5,5
Warren,55865,58755,63041,14,5.2,7.3,10
,,,,,,,
New Mexico,43530,46760,50311,,7.4,7.6,
Bernalillo,46130,49817,53616,5,8,7.6,16
Catron,33162,36786,37990,31,10.9,3.3,31
Chaves,39757,42594,45577,16,7.1,7,21
Cibola,28055,31700,34627,33,13,9.2,5
Colfax,40240,44671,47563,15,11,6.5,26
Curry,44392,48757,52015,6,9.8,6.7,25
De Baca,48600,54946,56384,4,13.1,2.6,33
Doña Ana,38142,41597,45045,18,9.1,8.3,13
Eddy,59246,59518,62888,3,0.5,5.7,28
Grant,41531,44295,48537,13,6.7,9.6,3
Guadalupe,33980,37162,43255,23,9.4,16.4,1
Harding,40555,46965,49695,11,15.8,5.8,27
Hidalgo,42896,47293,51465,9,10.3,8.8,10
Lea,48054,45169,48578,12,-6,7.5,17
Lincoln,41684,45210,47703,14,8.5,5.5,29
Los Alamos,72366,75949,81306,1,5,7.1,20
Luna,31164,35385,38494,30,13.5,8.8,11
McKinley,28158,31889,34939,32,13.3,9.6,4
Mora,43595,48632,51939,7,11.6,6.8,24
Otero,35385,38978,41657,27,10.2,6.9,23
Quay,37684,41017,44798,20,8.8,9.2,6
Rio Arriba,34872,38992,42467,24,11.8,8.9,9
Roosevelt,39990,43456,45456,17,8.7,4.6,30
Sandoval,44713,47989,51807,8,7.3,8,14
San Juan,36599,38835,41735,26,6.1,7.5,18
San Miguel,36646,41194,44889,19,12.4,9,8
Santa Fe,61879,65042,69528,2,5.1,6.9,22
Sierra,39373,45403,49778,10,15.3,9.6,2
Socorro,35357,38874,42389,25,9.9,9,7
Taos,37469,41670,44709,21,11.2,7.3,19
Torrance,34471,38437,41423,28,11.5,7.8,15
Union,35867,40294,41350,29,12.3,2.6,32
Valencia,36192,39980,43485,22,10.5,8.8,12
,,,,,,,
New York,67366,71577,76837,,6.3,7.3,
Albany,62495,67115,70947,7,7.4,5.7,40
Allegany,36813,40558,42569,62,10.2,5,53
Bronx,37090,42414,46834,58,14.4,10.4,2
Broome,43732,47712,50657,44,9.1,6.2,26
Cattaraugus,40704,44629,46775,59,9.6,4.8,56
Cayuga,44668,48654,51431,41,8.9,5.7,41
Chautauqua,41237,44998,47642,56,9.1,5.9,35
Chemung,45402,49108,52360,36,8.2,6.6,16
Chenango,42909,47183,50568,46,10,7.2,8
Clinton,44979,48408,50625,45,7.6,4.6,58
Columbia,57978,61949,65426,10,6.8,5.6,42
Cortland,41611,45921,48617,54,10.4,5.9,36
Delaware,42770,46157,48644,53,7.9,5.4,47
Dutchess,59590,63333,67256,9,6.3,6.2,25
Erie,50760,55229,57625,22,8.8,4.3,59
Essex,47408,51020,54109,28,7.6,6.1,31
Franklin,41327,45004,48658,52,8.9,8.1,5
Fulton,44191,48587,51558,40,9.9,6.1,29
Genesee,44444,48351,50662,43,8.8,4.8,57
Greene,48849,53044,55805,23,8.6,5.2,51
Hamilton,49017,52685,54556,26,7.5,3.6,62
Herkimer,44074,48208,51946,39,9.4,7.8,7
Jefferson,45905,50368,53130,35,9.7,5.5,45
Kings,51632,56349,61851,15,9.1,9.8,3
Lewis,46957,51181,54629,25,9,6.7,12
Livingston,46803,49549,52209,37,5.9,5.4,48
Madison,48065,51732,54766,24,7.6,5.9,37
Monroe,53057,57252,60046,18,7.9,4.9,54
Montgomery,42045,46018,48821,51,9.4,6.1,30
Nassau,89713,93715,99597,3,4.5,6.3,22
New York,173525,175327,195543,1,1,11.5,1
Niagara,46393,51017,53137,34,10,4.2,60
Oneida,46034,49821,53172,33,8.2,6.7,13
Onondaga,52978,57760,60992,16,9,5.6,43
Ontario,55262,59177,62051,14,7.1,4.9,55
Orange,51803,55348,58883,19,6.8,6.4,20
Orleans,39657,44078,46322,60,11.1,5.1,52
Oswego,41695,45855,48574,55,10,5.9,33
Otsego,46240,50111,53431,32,8.4,6.6,15
Putnam,70345,74127,78754,5,5.4,6.2,24
Queens,48675,53838,58646,20,10.6,8.9,4
Rensselaer,50039,54643,58126,21,9.2,6.4,21
Richmond,56475,60381,65113,11,6.9,7.8,6
Rockland,60915,64854,69173,8,6.5,6.7,14
St. Lawrence,39181,42821,45626,61,9.3,6.6,18
Saratoga,67477,71652,75651,6,6.2,5.6,44
Schenectady,53917,58435,62484,12,8.4,6.9,9
Schoharie,45273,49123,52027,38,8.5,5.9,34
Schuyler,42715,46769,49811,47,9.5,6.5,19
Seneca,40586,44704,47269,57,10.1,5.7,39
Steuben,47475,51050,54238,27,7.5,6.2,23
Suffolk,72292,76687,81309,4,6.1,6,32
Sullivan,47370,51175,53874,30,8,5.3,49
Tioga,46710,50803,53919,29,8.8,6.1,28
Tompkins,45232,48541,51377,42,7.3,5.8,38
Ulster,53426,57057,60557,17,6.8,6.1,27
Warren,53919,59267,62392,13,9.9,5.3,50
Washington,42093,46149,49202,48,9.6,6.6,17
Wayne,47651,51428,53499,31,7.9,4,61
Westchester,107755,112096,119705,2,4,6.8,11
Wyoming,41950,45927,49062,49,9.5,6.8,10
Yates,42576,46399,48934,50,9,5.5,46
,,,,,,,
North Carolina,48741,51900,56173,,6.5,8.2,
Alamance,41493,44418,48118,48,7,8.3,60
Alexander,39301,42147,46513,63,7.2,10.4,23
Alleghany,40046,42648,45206,71,6.5,6,95
Anson,40616,42055,47744,50,3.5,13.5,4
Ashe,38065,41284,44203,80,8.5,7.1,89
Avery,37300,40197,43022,89,7.8,7,90
Beaufort,46467,49748,54165,21,7.1,8.9,45
Bertie,39224,42000,48377,47,7.1,15.2,3
Bladen,39138,43369,47567,51,10.8,9.7,30
Brunswick,50004,52706,55361,19,5.4,5,100
Buncombe,51095,53944,57895,12,5.6,7.3,86
Burke,37922,41229,44798,76,8.7,8.7,50
Cabarrus,46415,49592,53647,23,6.8,8.2,66
Caldwell,37207,40147,43856,82,7.9,9.2,33
Camden,49318,52032,55457,17,5.5,6.6,93
Carteret,53601,57329,60741,9,7,6,96
Caswell,35982,38866,42247,92,8,8.7,49
Catawba,46269,49400,53333,25,6.8,8,72
Chatham,67117,70130,75624,1,4.5,7.8,75
Cherokee,34649,37421,40485,98,8,8.2,65
Chowan,43086,46206,50460,33,7.2,9.2,36
Clay,37286,40229,43300,85,7.9,7.6,79
Cleveland,38518,41569,45544,70,7.9,9.6,31
Columbus,36093,40202,44729,77,11.4,11.3,14
Craven,46534,50408,54135,22,8.3,7.4,83
Cumberland,39633,43028,46992,54,8.6,9.2,34
Currituck,50389,53380,57320,15,5.9,7.4,84
Dare,60562,65191,68887,5,7.6,5.7,97
Davidson,41164,44191,48086,49,7.4,8.8,46
Davie,50977,53558,57591,14,5.1,7.5,81
Duplin,41559,44729,51968,29,7.6,16.2,1
Durham,52438,55464,60330,10,5.8,8.8,47
Edgecombe,37462,40755,45069,72,8.8,10.6,20
Forsyth,49345,52167,56378,16,5.7,8.1,69
Franklin,38629,41482,44996,74,7.4,8.5,56
Gaston,41535,44739,48508,46,7.7,8.4,57
Gates,42248,45113,50100,36,6.8,11.1,18
Graham,37164,39698,43178,86,6.8,8.8,48
Granville,40074,43069,46504,64,7.5,8,71
Greene,32922,35457,39564,99,7.7,11.6,11
Guilford,47340,50418,54651,20,6.5,8.4,58
Halifax,37975,40677,44948,75,7.1,10.5,21
Harnett,36681,39500,43484,83,7.7,10.1,26
Haywood,42758,45709,49639,38,6.9,8.6,51
Henderson,46609,48613,52634,27,4.3,8.3,62
Hertford,35068,38879,41973,94,10.9,8,73
Hoke,34507,37467,41652,97,8.6,11.2,16
Hyde,42537,45957,49175,40,8,7,91
Iredell,53430,56830,60791,7,6.4,7,92
Jackson,36736,39950,43362,84,8.7,8.5,54
Johnston,42117,45109,48950,42,7.1,8.5,55
Jones,42088,43579,50245,35,3.5,15.3,2
Lee,42355,45022,49136,41,6.3,9.1,39
Lenoir,41500,45319,50363,34,9.2,11.1,17
Lincoln,48419,51675,55368,18,6.7,7.1,88
McDowell,36377,39398,42960,90,8.3,9,41
Macon,41975,45095,48875,43,7.4,8.4,59
Madison,37206,39775,43064,88,6.9,8.3,63
Martin,35954,38674,43176,87,7.6,11.6,10
Mecklenburg,63805,66863,71836,3,4.8,7.4,82
Mitchell,37938,40735,43973,81,7.4,7.9,74
Montgomery,38850,42133,46916,56,8.5,11.4,13
Moore,54737,57819,60775,8,5.6,5.1,99
Nash,44063,46885,50714,32,6.4,8.2,67
New Hanover,50960,54391,57693,13,6.7,6.1,94
Northampton,39114,41617,46742,62,6.4,12.3,9
Onslow,44307,46972,50869,31,6,8.3,61
Orange,66970,69593,74994,2,3.9,7.8,77
Pamlico,46364,49603,53355,24,7,7.6,80
Pasquotank,39929,43165,47034,53,8.1,9,42
Pender,42899,45375,48665,44,5.8,7.3,87
Perquimans,43540,46690,51577,30,7.2,10.5,22
Person,39670,42737,46879,57,7.7,9.7,29
Pitt,45951,49350,53200,26,7.4,7.8,76
Polk,51561,54775,59482,11,6.2,8.6,52
Randolph,39292,41954,45777,69,6.8,9.1,40
Richmond,36629,40055,44562,78,9.4,11.3,15
Robeson,33639,36880,41780,96,9.6,13.3,5
Rockingham,38428,41249,45049,73,7.3,9.2,35
Rowan,39508,42922,46763,61,8.6,8.9,43
Rutherford,35607,38741,42376,91,8.8,9.4,32
Sampson,37994,40646,45841,68,7,12.8,6
Scotland,34770,37527,42171,93,7.9,12.4,8
Stanly,40374,43279,46827,59,7.2,8.2,64
Stokes,39689,42290,46159,67,6.6,9.1,38
Surry,39935,42733,46963,55,7,9.9,27
Swain,41006,44824,49421,39,9.3,10.3,25
Transylvania,45984,48341,52252,28,5.1,8.1,68
Tyrrell,39263,43515,47379,52,10.8,8.9,44
Union,55973,59055,63777,6,5.5,8,70
Vance,36561,39845,44399,79,9,11.4,12
Wake,62535,66147,71205,4,5.8,7.6,78
Warren,31817,35682,38740,100,12.1,8.6,53
Washington,38154,41632,46846,58,9.1,12.5,7
Watauga,40810,43559,46766,60,6.7,7.4,85
Wayne,42187,45415,49881,37,7.7,9.8,28
Wilkes,38955,41739,46169,66,7.1,10.6,19
Wilson,41803,44562,48642,45,6.6,9.2,37
Yadkin,39450,41874,46172,65,6.1,10.3,24
Yancey,37365,39832,41892,95,6.6,5.2,98
,,,,,,,
North Dakota,57110,60864,64524,,6.6,6,
Adams,48914,57099,57586,48,16.7,0.9,46
Barnes,55652,63045,66463,30,13.3,5.4,30
Benson,39623,49406,55282,50,24.7,11.9,12
Billings,79623,83228,92571,1,4.5,11.2,14
Bottineau,60713,68775,69935,27,13.3,1.7,42
Bowman,68487,69660,77069,11,1.7,10.6,15
Burke,73848,75228,72515,22,1.9,-3.6,52
Burleigh,60474,62746,66017,32,3.8,5.2,32
Cass,58233,61736,65803,34,6,6.6,27
Cavalier,63525,90480,88700,2,42.4,-2,51
Dickey,61984,68779,73312,17,11,6.6,26
Divide,58643,65123,66208,31,11,1.7,43
Dunn,74483,73707,80976,5,-1,9.9,17
Eddy,57092,69336,72571,21,21.4,4.7,34
Emmons,48876,64339,72883,19,31.6,13.3,10
Foster,58655,73729,75732,14,25.7,2.7,40
Golden Valley,39094,44263,52279,52,13.2,18.1,6
Grand Forks,51236,55175,58132,47,7.7,5.4,31
Grant,43268,54801,57313,49,26.7,4.6,35
Griggs,55402,68358,73012,18,23.4,6.8,25
Hettinger,48588,59125,58160,46,21.7,-1.6,50
Kidder,53808,66782,74589,16,24.1,11.7,13
LaMoure,60029,70840,72712,20,18,2.6,41
Logan,50471,60170,68365,28,19.2,13.6,9
McHenry,55062,62880,72140,25,14.2,14.7,7
McIntosh,59208,70439,80675,6,19,14.5,8
McKenzie,70441,66159,72258,24,-6.1,9.2,18
McLean,59239,64151,76889,12,8.3,19.9,4
Mercer,58481,60817,65113,36,4,7.1,23
Morton,52389,55406,58630,45,5.8,5.8,29
Mountrail,68215,68259,72419,23,0.1,6.1,28
Nelson,58823,71728,70971,26,21.9,-1.1,47
Oliver,45448,52046,63441,39,14.5,21.9,3
Pembina,58341,71085,75974,13,21.8,6.9,24
Pierce,48230,56319,66733,29,16.8,18.5,5
Ramsey,49856,56950,59490,44,14.2,4.5,36
Ransom,54832,60122,64827,37,9.6,7.8,20
Renville,69861,79383,78282,10,13.6,-1.4,49
Richland,50104,53248,59919,42,6.3,12.5,11
Rolette,41420,48719,52939,51,17.6,8.7,19
Sargent,62204,68049,74799,15,9.4,9.9,16
Sheridan,48090,61315,78328,9,27.5,27.7,2
Sioux,29160,35078,36445,53,20.3,3.9,38
Slope,48921,62170,80270,8,27.1,29.1,1
Stark,63393,61563,62553,40,-2.9,1.6,44
Steele,64659,87451,86280,3,35.2,-1.3,48
Stutsman,52206,59353,61388,41,13.7,3.4,39
Towner,58502,86111,80665,7,47.2,-6.3,53
Traill,54988,64735,65364,35,17.7,1,45
Walsh,50715,61427,65961,33,21.1,7.4,22
Ward,55233,57047,59893,43,3.3,5,33
Wells,58274,76369,82108,4,31.1,7.5,21
Williams,66244,61077,63689,38,-7.8,4.3,37
,,,,,,,
Ohio,50035,53545,56879,,7,6.2,
Adams,35806,40100,43092,82,12,7.5,10
Allen,43618,47314,50353,41,8.5,6.4,46
Ashland,39376,42813,45594,74,8.7,6.5,43
Ashtabula,39535,43074,46280,68,9,7.4,11
Athens,35910,38491,40663,86,7.2,5.6,76
Auglaize,47864,51426,54964,20,7.4,6.9,30
Belmont,41870,42535,45375,76,1.6,6.7,34
Brown,39149,42639,45795,71,8.9,7.4,14
Butler,49578,52403,55636,18,5.7,6.2,55
Carroll,41253,45217,48319,54,9.6,6.9,31
Champaign,42488,47064,50151,42,10.8,6.6,40
Clark,41168,44990,47929,57,9.3,6.5,42
Clermont,57898,61442,64895,6,6.1,5.6,78
Clinton,45799,48335,52090,34,5.5,7.8,5
Columbiana,39393,42931,45580,75,9,6.2,54
Coshocton,36206,39883,42403,84,10.2,6.3,50
Crawford,38215,42508,45755,72,11.2,7.6,7
Cuyahoga,55170,58767,62790,8,6.5,6.8,32
Darke,43415,47615,51549,37,9.7,8.3,3
Defiance,41542,45046,47933,56,8.4,6.4,47
Delaware,76803,80000,83603,1,4.2,4.5,86
Erie,55178,54141,58239,16,-1.9,7.6,9
Fairfield,48415,52052,55185,19,7.5,6,59
Fayette,39499,45321,47851,58,14.7,5.6,79
Franklin,51386,55376,58689,14,7.8,6,62
Fulton,46220,49896,52995,29,8,6.2,51
Gallia,41574,44973,47674,59,8.2,6,60
Geauga,71640,74087,78294,2,3.4,5.7,74
Greene,52189,55300,58363,15,6,5.5,81
Guernsey,41970,45838,48667,52,9.2,6.2,53
Hamilton,60698,64043,67845,4,5.5,5.9,64
Hancock,51102,55871,58966,12,9.3,5.5,80
Hardin,33937,37515,40636,87,10.5,8.3,2
Harrison,40834,43497,45968,70,6.5,5.7,73
Henry,44961,49383,52568,31,9.8,6.4,44
Highland,37462,41304,44454,77,10.3,7.6,8
Hocking,39909,43539,46421,65,9.1,6.6,36
Holmes,47387,50516,54118,26,6.6,7.1,22
Huron,40967,44947,48213,55,9.7,7.3,19
Jackson,36620,40658,42680,83,11,5,85
Jefferson,40616,44238,47413,61,8.9,7.2,21
Knox,45128,48648,52034,35,7.8,7,27
Lake,52503,55688,58960,13,6.1,5.9,66
Lawrence,40440,43730,46838,63,8.1,7.1,23
Licking,47531,51377,54525,23,8.1,6.1,56
Logan,42969,47329,50151,42,10.1,6,63
Lorain,48387,51518,54452,24,6.5,5.7,72
Lucas,47730,51088,54105,27,7,5.9,65
Madison,42785,47359,50124,44,10.7,5.8,68
Mahoning,44241,47903,50968,38,8.3,6.4,48
Marion,37356,40780,43814,79,9.2,7.4,12
Medina,58080,60816,64371,7,4.7,5.8,67
Meigs,36845,40789,43469,80,10.7,6.6,38
Mercer,50173,54089,59089,11,7.8,9.2,1
Miami,48319,51963,54947,21,7.5,5.7,71
Monroe,38342,42900,43844,78,11.9,2.2,88
Montgomery,48011,51883,54822,22,8.1,5.7,75
Morgan,35887,40418,43249,81,12.6,7,26
Morrow,41694,45968,49162,48,10.3,6.9,28
Muskingum,42244,46224,49160,49,9.4,6.4,49
Noble,28633,31322,32713,88,9.4,4.4,87
Ottawa,54124,57760,61102,9,6.7,5.8,70
